#1              2                   3   4      5     6      7     8      9     10     11    12     13    14    15    16    17    18        19     20    21    22     23    24  25  26     27    28    29   30    31    32      33 34     35      36
#P-M-F          RA-DEC              sng u      su    g      sg    r      sr    i      si    z      sz    ebv   ppm   l     b     tp        Teff   dT    logg  dlogg  vr   dvr S/N DT(SP) d[pc] z[pc] mass  dmass t3d   logg3d  DT Dlogg  mass3d  dmass3d
5800-56279-0072 100126.73+291837.57 015 19.141 0.026 19.211 0.025 19.610 0.026 19.939 0.037 19.980 0.105 0.015 014.5 199.3 052.7 DA        024395 00346 7.836 0.044   37   17 014 00996 00695 00553 0.554 0.019 024395 7.836    0  0.000 0.55365 0.01338
5800-56279-0290 095711.73+293500.08 014 19.456 0.027 19.262 0.025 19.601 0.023 19.835 0.026 20.117 0.126 0.014 017.9 198.7 051.8 DA        018128 00237 7.886 0.045   48   18 012 01036 00522 00410 0.562 0.021 018128 7.886    0  0.000 0.56154 0.01486
5800-56279-0614 095516.21+302023.29 007 20.630 0.065 20.176 0.026 19.928 0.022 19.923 0.030 19.971 0.099 0.019 044.8 197.4 051.5 DA        007015 00114 8.344 0.197   51   22 007 00003 00154 00120 0.802 0.125 007013 8.288   -2 -0.056 0.76944 0.08728
5800-56279-0870 100018.24+304729.30 015 19.222 0.027 19.163 0.034 19.329 0.018 19.456 0.024 19.816 0.079 0.016 084.4 196.9 052.6 DA(He)    015960 00362 8.000 0.000    0    0 000 00000 00000 00000 0.000 0.000 015960 8.000    0  0.000 0.61369 0.00054
5801-56328-0248 094911.81+284435.25 022 18.547 0.021 18.586 0.022 18.935 0.014 19.246 0.023 19.528 0.073 0.017 023.6 199.6 050.0 DA        024076 00241 7.924 0.031   32   11 020 00000 00476 00364 0.594 0.020 024076 7.924    0  0.000 0.59364 0.01012
5801-56328-0514 094324.00+300351.88 034 17.607 0.021 17.390 0.016 17.676 0.012 17.917 0.012 18.203 0.023 0.020 057.9 197.3 048.9 DA        015803 00114 8.492 0.017   77    7 030 00000 00126 00095 0.905 0.010 015803 8.492    0  0.000 0.90488 0.00740
5801-56328-0990 095519.91+301204.29 009 20.291 0.048 19.698 0.023 19.574 0.018 19.563 0.025 19.614 0.073 0.017 066.1 197.6 051.5 DA        007218 00081 7.363 0.216   19   13 008 00134 00249 00195 0.329 0.068 007216 7.230   -2 -0.133 0.28847 0.04090
5803-56272-0178 092909.22+285501.07 008 20.660 0.070 20.234 0.024 20.202 0.028 20.230 0.033 20.156 0.090 0.019 021.5 198.3 045.7 DA        008230 00094 8.196 0.155   52   19 007 00012 00241 00172 0.709 0.094 008219 7.997  -11 -0.199 0.59445 0.05690
5803-56272-0596 092345.59+302804.81 072 15.916 0.022 15.709 0.019 16.089 0.011 16.378 0.015 16.668 0.019 0.022 025.1 195.8 044.8 DA        019046 00054 6.820 0.010   76    2 067 00307 01502 01058 0.248 0.001 019046 6.820    0  0.000 0.24849 0.00069
5805-56336-0190 093708.57+333404.39 052 16.081 0.016 16.146 0.024 16.556 0.014 16.876 0.014 17.162 0.022 0.013 057.0 191.9 048.0 DA        024285 00102 7.263 0.013   92    3 049 00735 00259 00192 0.380 0.003 024285 7.263    0  0.000 0.37970 0.00208
5805-56336-0478 093103.31+333947.78 033 16.850 0.023 17.150 0.081 17.666 0.032 17.978 0.020 19.011 0.045 0.014 057.7 191.6 046.7 DA        029870 00109 7.890 0.025   62    9 031 00000 00331 00241 0.591 0.016 029870 7.890    0  0.000 0.59060 0.00781
5805-56336-0722 093516.42+342138.40 008 20.533 0.058 19.969 0.033 19.948 0.040 19.865 0.037 19.941 0.109 0.012 044.4 190.6 047.6 DA        007672 00095 7.912 0.172   19   16 008 00010 00231 00170 0.547 0.082 007668 7.772   -4 -0.140 0.49146 0.05210
5805-56336-0800 093634.25+343902.10 027 18.454 0.056 18.181 0.017 18.457 0.021 18.718 0.018 19.071 0.053 0.012 042.7 190.2 047.9 DA        015399 00113 7.973 0.023   52    8 024 00095 00259 00192 0.598 0.012 015399 7.973    0  0.000 0.59830 0.00832
5805-56336-0840 093758.72+343837.32 026 18.548 0.016 18.719 0.017 18.719 0.017 19.030 0.030 19.279 0.063 0.013 004.2 190.3 048.2 DA        018605 00128 8.282 0.024    0    0 000 00000 00000 00000 0.000 0.000 018605 8.282    0  0.000 0.78141 0.00923
5806-56310-0186 094332.82+312454.08 026 18.658 0.026 18.326 0.020 18.420 0.013 18.551 0.020 18.717 0.029 0.019 125.7 195.3 049.1 DA        010686 00034 8.873 0.031   83    8 024 00048 00091 00069 1.106 0.016 010541 8.618 -145 -0.255 0.97823 0.01323
5806-56310-0270 094200.06+312920.11 045 17.085 0.015 16.986 0.015 17.354 0.011 17.657 0.012 17.906 0.019 0.019 013.9 195.1 048.8 DA        020193 00094 7.432 0.015  -31    4 042 00512 00276 00208 0.412 0.004 020193 7.432    0  0.000 0.41225 0.00308
5806-56310-0625 093947.94+325807.28 035 17.495 0.022 17.645 0.014 18.039 0.026 18.103 0.018 17.978 0.028 0.021 035.8 192.8 048.5 DA+M      029044 00108 7.705 0.024    0    0 000 00000 00000 00000 0.000 0.000 029044 7.705    0  0.000 0.52346 0.00068
5806-56310-0692 094031.83+322233.22 015 19.277 0.026 19.197 0.016 19.468 0.032 19.829 0.031 20.239 0.105 0.015 020.5 193.7 048.6 DA        017209 00192 8.047 0.039    7   17 013 01307 00427 00320 0.641 0.021 017209 8.047    0  0.000 0.64099 0.01456
5807-56329-0237 093140.83+305111.30 026 18.064 0.023 18.421 0.032 18.421 0.032 18.699 0.219 19.010 0.051 0.018 009.8 195.6 046.5 DA        021924 00182 8.091 0.028    0    0 000 00000 00000 00000 0.000 0.000 021924 8.091    0  0.000 0.67364 0.01032
5809-56353-0583 090545.56+324038.68 014 18.260 0.033 19.146 0.048 19.146 0.048 19.361 0.026 19.721 0.101 0.020 008.8 192.0 041.3 DA        030332 00164 7.892 0.037    0    0 000 00000 00000 00000 0.000 0.000 030332 7.892    0  0.000 0.59253 0.01159
5809-56353-0712 090820.02+325137.58 016 19.121 0.023 19.217 0.022 19.217 0.022 19.522 0.030 19.584 0.087 0.018 006.0 191.9 041.9 DA        016289 00204 7.988 0.043    0    0 000 00000 00000 00000 0.000 0.000 016289 7.988    0  0.000 0.60825 0.01549
5809-56353-0906 091207.16+330257.37 010 19.039 0.022 19.614 0.019 19.614 0.019 19.958 0.026 20.279 0.082 0.018 007.4 191.8 042.7 DA        028924 00293 8.070 0.058    0    0 000 00000 00000 00000 0.000 0.000 028924 8.070    0  0.000 0.67564 0.02097
5810-56358-0024 092925.78+332700.68 008 20.967 0.031 20.262 0.032 20.262 0.032 20.407 0.044 20.316 0.140 0.015 008.3 191.8 046.4 DA        008756 00087 7.999 0.171    0    0 000 00000 00000 00000 0.000 0.000 008728 7.740  -28 -0.259 0.48082 0.04980
5810-56358-0588 092135.04+351100.85 011 18.772 0.021 19.589 0.027 19.589 0.027 19.899 0.034 20.237 0.131 0.014 010.3 189.1 044.9 DA        038391 00664 7.772 0.079    0    0 000 00000 00000 00000 0.000 0.000 038391 7.772    0  0.000 0.56022 0.02056
5811-56334-0063 091718.66+332116.80 014 19.127 0.023 18.968 0.034 19.217 0.017 19.565 0.030 19.949 0.115 0.015 012.4 191.6 043.8 DA        017153 00242 8.038 0.049   15   19 012 00011 00383 00265 0.636 0.026 017153 8.038    0  0.000 0.63615 0.01809
5811-56334-0178 091526.52+330409.66 010 20.235 0.036 19.804 0.018 19.658 0.022 19.680 0.022 19.729 0.050 0.016 022.8 191.9 043.4 DA        007268 00078 8.215 0.149   48   14 009 00359 00156 00107 0.717 0.092 007266 8.132   -2 -0.083 0.66914 0.06367
5811-56334-0390 091028.84+331005.16 012 18.394 0.032 19.075 0.020 19.075 0.020 19.451 0.030 19.883 0.121 0.018 004.3 191.5 042.4 DA        031240 00198 7.992 0.049    0    0 000 00000 00000 00000 0.000 0.000 031240 7.992    0  0.000 0.64102 0.01652
5811-56334-0416 090934.12+324242.06 016 19.090 0.025 18.939 0.019 19.191 0.015 19.469 0.018 19.661 0.053 0.020 013.6 192.1 042.1 DA        018153 00214 7.864 0.040  -25   15 014 01355 00442 00296 0.551 0.018 018153 7.864    0  0.000 0.55089 0.01307
5813-56363-0082 092457.27+452712.56 008 20.391 0.060 19.976 0.025 20.063 0.034 20.086 0.036 19.985 0.138 0.014 025.7 174.5 045.4 DA        009016 00073 8.086 0.093   18   21 007 00231 00278 00198 0.646 0.053 008978 7.816  -38 -0.270 0.51890 0.02675
5813-56363-0174 092311.26+460320.98 025 18.248 0.015 18.333 0.020 18.791 0.016 19.107 0.024 19.403 0.071 0.014 037.4 173.7 045.1 DA        027018 00172 8.001 0.027   41   11 023 01859 00466 00330 0.637 0.013 027018 8.001    0  0.000 0.63726 0.00921
5813-56363-0328 091925.52+463631.82 008 20.487 0.054 20.143 0.024 20.146 0.025 20.049 0.032 19.780 0.081 0.013 034.7 173.1 044.4 DA        008998 00095 8.002 0.118    0   21 007 00980 00306 00214 0.599 0.064 008959 7.732  -39 -0.270 0.47818 0.03350
5813-56363-0334 091927.78+464144.02 020 18.561 0.018 19.210 0.016 19.210 0.016 19.497 0.024 19.851 0.087 0.014 005.5 172.9 044.4 DA        027729 00222 7.971 0.037    0    0 000 00000 00000 00000 0.000 0.000 027729 7.971    0  0.000 0.62402 0.01224
5813-56363-0496 091208.94+461642.81 039 17.189 0.049 16.845 0.024 17.168 0.037 17.412 0.022 17.676 0.047 0.012 054.7 173.7 043.2 DA        016225 00072 7.770 0.016   -5    5 035 00846 00170 00116 0.522 0.003 016225 7.770    0  0.000 0.52152 0.00245
5813-56363-0555 091441.38+472307.20 018 18.995 0.024 18.856 0.018 19.183 0.014 19.443 0.022 19.681 0.062 0.014 027.4 172.1 043.5 DA        018396 00185 7.915 0.035   45   14 015 00528 00428 00294 0.576 0.017 018396 7.915    0  0.000 0.57635 0.01177
5813-56363-0666 091749.24+480113.47 010 20.349 0.052 19.821 0.024 19.589 0.022 19.487 0.029 19.355 0.066 0.018 043.8 171.2 043.9 DA        006829 00088 8.274 0.158   95   17 009 00008 00130 00090 0.758 0.099 006828 8.234   -1 -0.040 0.72742 0.06954
5813-56363-0734 091901.08+470609.71 029 18.157 0.016 17.980 0.028 18.380 0.019 18.667 0.025 18.944 0.046 0.017 026.9 172.4 044.2 DA        018728 00113 7.788 0.021   -4    8 026 00057 00324 00226 0.524 0.002 018728 7.788    0  0.000 0.52395 0.00190
5846-56017-0278 120305.44+185851.31 020 19.040 0.023 19.234 0.014 19.234 0.014 19.505 0.021 19.751 0.063 0.019 012.7 246.7 076.2 DA        017181 00141 8.374 0.028    0    0 000 00000 00000 00000 0.000 0.000 017181 8.374    0  0.000 0.83371 0.01217
5846-56017-0500 115737.93+185503.59 045 16.478 0.027 16.582 0.032 16.951 0.018 17.236 0.019 17.532 0.026 0.029 021.0 243.7 075.2 DA        022724 00099 8.221 0.014   59    5 041 00459 00144 00139 0.747 0.010 022724 8.221    0  0.000 0.74724 0.00732
5847-56037-0110 121011.27+164403.90 038 17.078 0.032 17.094 0.017 17.468 0.015 17.760 0.016 18.078 0.031 0.033 027.4 258.3 075.9 DA        021749 00103 8.015 0.016   34    6 036 00664 00203 00197 0.634 0.008 021749 8.015    0  0.000 0.63366 0.00561
5847-56037-0442 120355.33+164214.50 019 18.668 0.028 18.707 0.028 19.073 0.022 19.392 0.022 19.602 0.090 0.032 034.0 254.0 074.8 DA        023572 00297 7.982 0.040   40   14 017 00529 00466 00449 0.621 0.019 023572 7.982    0  0.000 0.62076 0.01356
5847-56037-0908 121002.57+180535.16 027 18.058 0.021 18.044 0.021 18.206 0.023 18.407 0.019 18.639 0.039 0.029 037.5 254.2 076.9 DAB       017093 00325 8.000 0.000    0    0 000 00000 00000 00000 0.000 0.000 017093 8.000    0  0.000 0.61607 0.00048
5848-56029-0284 121312.23+175551.34 040 17.122 0.025 17.074 0.020 17.406 0.013 17.683 0.012 17.973 0.023 0.028 084.3 257.2 077.3 DA        019846 00090 7.890 0.015   35    5 037 00148 00201 00196 0.568 0.007 019846 7.890    0  0.000 0.56799 0.00498
5849-56033-0216 121851.56+170319.20 020 18.588 0.020 18.447 0.039 18.758 0.025 19.059 0.026 19.280 0.047 0.021 029.7 264.5 077.4 DA        017879 00161 7.761 0.031   10   12 017 00225 00378 00369 0.522 0.006 017879 7.761    0  0.000 0.52179 0.00474
5849-56033-0290 121701.29+164551.58 018 19.322 0.028 18.957 0.033 18.969 0.016 19.016 0.021 19.194 0.090 0.025 125.2 263.6 076.9 DA        009150 00036 8.628 0.037   65    9 017 00085 00116 00113 0.981 0.018 009108 8.357  -42 -0.271 0.81275 0.01630
5849-56033-0466 121306.45+164359.21 027 18.390 0.021 18.162 0.018 18.433 0.015 18.702 0.020 19.011 0.041 0.031 027.9 260.5 076.3 DA        016421 00110 7.940 0.023   55    8 024 00235 00268 00260 0.584 0.011 016421 7.940    0  0.000 0.58383 0.00787
5849-56033-0472 121234.85+165320.26 017 19.135 0.024 18.958 0.020 19.084 0.023 19.138 0.025 19.349 0.048 0.030 031.2 259.7 076.4 DA        005945 00091 9.634 0.166    6   99 016 05072 00019 00019 1.371 0.011 005944 9.611   -1 -0.023 1.37002 0.00637
5850-56042-0050 122813.17+183017.60 008 20.420 0.062 20.017 0.024 19.887 0.029 19.924 0.034 19.951 0.105 0.028 015.7 269.9 079.9 DA        007628 00097 7.403 0.215   43   16 007 00154 00304 00299 0.344 0.072 007623 7.231   -5 -0.172 0.29142 0.04062
5850-56042-0210 122526.91+192340.29 015 19.484 0.043 19.201 0.032 19.517 0.030 19.672 0.031 20.044 0.067 0.029 015.2 263.9 080.2 DA        016061 00170 8.103 0.035    7   16 014 00376 00380 00374 0.669 0.019 016061 8.103    0  0.000 0.66934 0.01358
5850-56042-0262 122423.00+185827.16 007 21.228 0.075 20.502 0.035 20.409 0.027 20.484 0.037 20.429 0.091 0.032 028.4 264.2 079.7 DA        009111 00083 8.116 0.105   63   25 006 01132 00331 00326 0.664 0.059 009068 7.845  -43 -0.271 0.52350 0.03152
5850-56042-0290 122322.49+185505.65 010 20.278 0.047 19.852 0.038 19.680 0.020 19.636 0.023 19.624 0.061 0.034 093.1 263.3 079.6 DA        007364 00086 8.499 0.143   38   16 009 00008 00130 00127 0.901 0.088 007362 8.409   -2 -0.090 0.84373 0.06416
5850-56042-0741 122354.21+205431.83 032 17.528 0.030 17.362 0.024 17.697 0.014 17.981 0.013 18.237 0.027 0.024 024.3 256.2 081.2 DA        019345 00115 8.079 0.020   34    8 028 01090 00198 00196 0.663 0.011 019345 8.079    0  0.000 0.66260 0.00742
5850-56042-0800 122422.09+202235.53 015 19.692 0.033 19.367 0.018 19.372 0.020 19.467 0.022 19.638 0.051 0.030 023.5 259.0 080.8 DA        006331 00065 8.200 0.123    0   14 014 03003 00104 00103 0.708 0.077 006330 8.190   -1 -0.010 0.70255 0.05426
5850-56042-0963 122748.80+195548.33 027 18.120 0.016 18.018 0.022 18.312 0.022 18.617 0.024 18.875 0.041 0.034 048.7 264.8 081.0 DA        018669 00126 7.911 0.023   22    9 024 00427 00284 00281 0.575 0.011 018669 7.911    0  0.000 0.57511 0.00761
5851-56075-0200 134416.20+210305.39 008 20.622 0.054 20.070 0.020 19.867 0.021 19.836 0.032 19.826 0.072 0.026 044.9 009.0 076.5 DA        006921 00120 9.117 0.166  -22   33 007 00068 00075 00073 1.210 0.061 006920 9.054   -1 -0.063 1.18575 0.04742
5851-56075-0272 134324.82+210059.47 031 18.276 0.019 18.651 0.021 18.651 0.021 18.980 0.019 19.251 0.049 0.022 009.6 008.5 076.7 DA        024006 00168 7.818 0.022    0    0 000 00000 00000 00000 0.000 0.000 024006 7.818    0  0.000 0.54469 0.00648
5851-56075-0392 134101.67+210616.99 010 18.558 0.021 19.532 0.022 19.532 0.022 19.903 0.024 20.195 0.092 0.023 011.3 007.6 077.2 DA        080000 10000 7.388 0.500    0    0 000 00000 00000 00000 0.000 0.000 080000 7.388    0  0.000 0.55479 0.06272
5851-56075-0975 134758.92+212942.20 006 21.004 0.084 20.462 0.037 20.277 0.030 20.213 0.045 20.134 0.096 0.020 050.9 012.4 076.0 DA        006861 00130 7.795 0.265   55   23 006 00085 00241 00234 0.499 0.121 006860 7.739   -1 -0.056 0.47279 0.08128
5852-56034-0374 122600.54+170242.12 039 17.429 0.024 17.135 0.021 17.419 0.013 17.651 0.016 17.904 0.021 0.022 021.7 271.4 078.3 DA        015017 00072 7.915 0.014   38    5 036 00030 00161 00158 0.568 0.007 015017 7.915    0  0.000 0.56832 0.00489
5852-56034-0694 122638.84+175201.45 034 17.436 0.016 17.417 0.020 17.786 0.010 18.109 0.019 18.366 0.030 0.026 030.5 270.0 079.1 DA        020922 00117 7.947 0.019   50    7 031 00533 00240 00235 0.598 0.009 020922 7.947    0  0.000 0.59766 0.00650
5852-56034-0968 123227.35+181653.84 019 18.132 0.024 18.554 0.026 19.069 0.024 19.431 0.036 19.766 0.099 0.023 010.3 275.6 080.1 DA        054302 01798 6.503 0.106  114   28 017 05234 12586 12399 0.266 0.006 054302 6.503    0  0.000 0.26555 0.00402
5853-56045-0024 123914.92+190952.31 028 18.001 0.019 18.117 0.035 18.554 0.018 18.873 0.019 19.165 0.042 0.021 017.0 282.9 081.6 DA        026829 00181 7.832 0.025  -18    9 026 00970 00462 00457 0.558 0.011 026829 7.832    0  0.000 0.55783 0.00769
5853-56045-0406 123058.93+183110.93 025 18.365 0.027 18.255 0.022 18.545 0.018 18.816 0.027 19.101 0.051 0.022 071.0 273.2 080.2 DA        019216 00153 7.838 0.027   80   10 022 01052 00348 00342 0.542 0.012 019216 7.838    0  0.000 0.54159 0.00830
5853-56045-0724 123341.59+201542.45 020 18.692 0.025 18.800 0.017 19.180 0.019 19.458 0.026 19.708 0.054 0.046 019.5 271.4 082.0 DA        025189 00277 7.810 0.034   26   12 018 00011 00570 00564 0.544 0.014 025189 7.810    0  0.000 0.54414 0.00984
5853-56045-0779 123409.19+193630.56 025 18.840 0.025 18.506 0.021 18.669 0.020 18.226 0.023 17.501 0.028 0.022 036.0 274.2 081.5 DA+M      016270 00116 7.806 0.025    0    0 000 00000 00000 00000 0.000 0.000 016270 7.806    0  0.000 0.52409 0.00342
5854-56035-0066 124236.77+171817.01 037 17.272 0.017 17.228 0.015 17.535 0.021 17.826 0.022 18.112 0.025 0.021 039.2 290.8 080.0 DA        018464 00076 8.531 0.014   81    6 034 00316 00129 00127 0.931 0.008 018464 8.531    0  0.000 0.93114 0.00599
5854-56035-0148 124028.98+172415.60 012 20.135 0.038 19.687 0.024 19.595 0.018 19.628 0.030 19.556 0.057 0.017 048.1 287.8 080.0 DA        007899 00062 8.035 0.110   33   11 011 00047 00194 00191 0.615 0.062 007893 7.874   -6 -0.161 0.52868 0.03502
5854-56035-0208 123953.14+162929.97 030 17.712 0.023 17.767 0.025 18.120 0.016 18.421 0.023 18.669 0.030 0.022 052.0 288.2 079.0 DA        022165 00148 7.987 0.021   26    8 028 00001 00286 00281 0.620 0.010 022165 7.987    0  0.000 0.62027 0.00717
5854-56035-0264 123846.74+170620.69 034 17.072 0.015 17.378 0.014 17.765 0.019 18.167 0.019 18.468 0.029 0.025 014.3 286.0 079.6 DA        031506 00102 7.831 0.025   35    9 032 00388 00385 00378 0.569 0.011 031506 7.831    0  0.000 0.56882 0.00746
5854-56035-0456 123446.83+164723.25 027 18.589 0.028 18.121 0.016 18.346 0.021 18.507 0.038 18.672 0.036 0.025 086.0 281.6 079.0 DA        011392 00051 8.210 0.028   23    7 024 00207 00159 00156 0.719 0.016 011334 8.057  -58 -0.153 0.63473 0.01094
5856-56090-0554 124419.50+183329.44 015 19.378 0.026 19.218 0.019 19.527 0.018 19.842 0.035 19.962 0.098 0.016 046.2 291.7 081.3 DA        018473 00242 7.893 0.045   -1   18 013 00813 00515 00509 0.566 0.021 018473 7.893    0  0.000 0.56596 0.01492
5856-56090-0740 124741.76+180627.71 017 18.868 0.024 18.932 0.017 19.321 0.019 19.631 0.022 20.028 0.091 0.018 029.2 297.3 080.9 DA        023214 00320 7.946 0.042   -3   16 015 00140 00536 00529 0.602 0.020 023214 7.946    0  0.000 0.60236 0.01391
5859-56065-0784 125721.06+192451.47 043 16.672 0.020 17.071 0.029 17.519 0.012 17.905 0.014 18.211 0.024 0.018 047.5 313.2 082.2 DA        049532 00631 7.621 0.057    0    0 000 00000 00000 00000 0.000 0.000 049532 7.621    0  0.010 0.00000 0.00000
5860-56046-0400 130052.13+192931.17 054 16.192 0.021 16.607 0.026 17.024 0.014 17.410 0.028 17.733 0.021 0.024 065.3 319.2 082.1 DA        048201 00363 7.799 0.030  -43   11 051 00000 00378 00375 0.593 0.015 048201 7.799    0  0.000 0.59281 0.00739
5861-56069-0068 133717.57+203735.55 015 19.364 0.029 19.088 0.031 19.375 0.018 19.523 0.027 19.657 0.060 0.017 043.2 003.6 077.7 DA        011135 00087 8.136 0.055   22   15 013 00816 00258 00252 0.679 0.031 011051 7.961  -84 -0.175 0.58196 0.02051
5861-56069-0070 133722.72+202855.07 022 18.349 0.018 18.392 0.029 18.544 0.018 18.079 0.021 17.580 0.023 0.019 033.7 003.0 077.6 DA+M      023452 00273 7.665 0.036    0    0 000 00000 00000 00000 0.000 0.000 023452 7.665    0  0.000 0.50632 0.00937
5861-56069-0079 133807.07+210244.21 015 19.080 0.025 18.857 0.029 19.156 0.034 19.522 0.034 19.840 0.082 0.019 031.9 005.7 077.7 DA        018328 00232 7.876 0.042   70   17 013 00541 00443 00433 0.557 0.019 018328 7.876    0  0.000 0.55712 0.01376
5861-56069-0496 132818.42+204039.43 034 17.513 0.029 17.625 0.028 17.625 0.028 17.888 0.017 18.176 0.028 0.017 005.9 357.4 079.4 DA        017667 00100 7.972 0.020    0    0 000 00000 00000 00000 0.000 0.000 017667 7.972    0  0.000 0.60294 0.00709
5861-56069-0918 133632.29+214407.86 006 20.995 0.065 20.501 0.027 20.319 0.024 20.304 0.029 20.135 0.095 0.013 039.3 007.6 078.4 DA        006977 00152 7.924 0.316  -12   26 005 00167 00238 00233 0.551 0.157 006975 7.862   -2 -0.062 0.52384 0.10870
5862-56045-0318 133701.44+181823.80 015 19.018 0.019 19.649 0.020 19.649 0.020 19.953 0.026 20.289 0.105 0.020 002.9 355.3 076.3 DA        027189 00309 7.826 0.048    0    0 000 00000 00000 00000 0.000 0.000 027189 7.826    0  0.000 0.55602 0.01431
5862-56045-0672 133631.48+200422.38 045 17.041 0.021 17.071 0.019 17.463 0.017 17.787 0.015 18.078 0.022 0.018 022.7 001.0 077.5 DA        023619 00120 7.444 0.016  -22    4 041 00764 00331 00323 0.432 0.005 023619 7.444    0  0.000 0.43171 0.00366
5864-56047-0294 131332.13+203039.87 037 18.114 0.023 17.809 0.033 17.978 0.034 18.196 0.032 18.433 0.037 0.026 051.4 341.5 081.7 DA        013387 00082 8.469 0.016   60    6 034 00068 00132 00130 0.889 0.009 013466 8.436   79 -0.033 0.86840 0.00736
5864-56047-0792 131445.11+212655.81 027 18.677 0.021 18.484 0.022 18.797 0.019 19.058 0.025 19.252 0.042 0.024 062.7 347.3 082.2 DA        018216 00123 7.959 0.023   33    9 024 01054 00342 00339 0.598 0.011 018216 7.959    0  0.000 0.59753 0.00808
5865-56067-0652 132118.93+210120.00 013 20.222 0.052 19.537 0.035 19.328 0.018 19.299 0.026 19.341 0.052 0.020 056.1 352.7 080.9 DA        006995 00062 7.646 0.147   56   10 012 00010 00180 00178 0.434 0.063 006993 7.566   -2 -0.080 0.39844 0.04117
