element,sp_num,obs_wl_vac(nm),unc_obs_wl,ritz_wl_vac(nm),unc_ritz_wl,intens,Aki(s^-1),Acc,Ei(cm-1),Ek(cm-1),conf_i,term_i,J_i,conf_k,term_k,J_k,Type,tp_ref,line_ref,
Th,1,"=""4337.6349""","=""0.0021""","=""4337.63115""","=""0.00011""","=""1""","=""""",,"=""10783.15535""","=""13088.56115""","=""6d.7s2.7p""","=""3F*""","=""2""","=""6d3.(2G).7s""","=""3G""","=""3""",,"=""""","=""L9974""",
Th,1,"=""4337.7036""","=""0.0024""","=""4337.7025""","=""0.0006""","=""0""","=""""",,"=""21176.0061""","=""23481.37399""","=""6d4""","=""5D""","=""0""","=""""","=""*""","=""1""",,"=""""","=""L9974""",
Fe,2,"=""4338.0888""","=""0.0010""","=""4338.0880""","=""0.0009""","=""0.07""","=""""",,"=""104739.057""","=""107044.220""","=""3d6.(3F2).4d""","=""4P""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""3/2""",,"=""""","=""L18349c139""",
Th,3,"=""4338.5049""","=""0.0011""","=""4338.5049""","=""0.0008""","=""25""","=""""",,"=""7875.8244""","=""10180.76592""","=""6d2""","=""3P""","=""1""","=""5f.6d""","=""3D*""","=""2""",,"=""""","=""L9974""",
Fe,1,"=""4338.984""","=""0.006""","=""4338.965""","=""0.003""","=""331""","=""""",,"=""51827.854""","=""54132.551""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""1""","=""3d7.(4F).4d""","=""h 5D""","=""1""",,"=""""","=""L11631""",
Fe,2,"=""4339.184""","=""0.005""","=""4339.1911""","=""0.0013""","=""1.2e-02""","=""""",,"=""105220.610""","=""107525.187""","=""3d6.(3H).4d""","=""4F""","=""7/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4340.837""","=""0.015""","=""4340.843""","=""0.004""","=""950""","=""""",,"=""54864.831""","=""57168.531""","=""3d6.4s.(6D).6s""","=""5D""","=""3""","=""3d6.4s.(6D).6p""","=""5D*""","=""3""",,"=""""","=""L11631""",
Th,1,"=""4341.9128""","=""0.0015""","=""4341.91268""","=""0.00008""","=""7""","=""""",,"=""8111.004545""","=""10414.13700""","=""6d2.7s2""","=""1G""","=""4""","=""5f.6d.7s2""","=""1G*""","=""4""",,"=""""","=""L9974""",
Xe,1,"=""4342.42""","=""0.40""","=""4341.7+""","=""0.3""","=""1""","=""""",,"=""94168.86""","=""96472.13""","=""5p5.(2P*<3/2>).9p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).13s""","=""2[3/2]*""","=""2""",,"=""""","=""L1975""",
Th,1,"=""4344.4152""","=""0.0017""","=""4344.41350""","=""0.00017""","=""3""","=""""",,"=""17411.224415""","=""19713.03109""","=""6d.7s2.7p""","=""3D*""","=""3""","=""6d3.(2F).7s""","=""3F""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""4345.3674""","=""0.0019""","=""4345.3662""","=""0.0008""","=""0.031""","=""""",,"=""104916.552""","=""107217.854""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d6.(5D).6p""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Xe,1,"=""4346.08""","=""0.40""","=""4346.10+""","=""0.03""","=""1""","=""""",,"=""90032.155""","=""92333.066""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).8p""","=""2[3/2]""","=""1""",,"=""""","=""L1975""",
Fe,2,"=""4346.328""","=""0.003""","=""4346.3313""","=""0.0013""","=""1.9e-02""","=""""",,"=""104863.080""","=""107163.871""","=""3d6.(5D).5d""","=""6P""","=""3/2""","=""3d6.(5D).6p""","=""4P*""","=""5/2""",,"=""""","=""L18349c139""",
Xe,1,"=""4348.46""","=""0.30""","=""4348.46+""","=""0.03""","=""25""","=""""",,"=""88549.775""","=""90849.440""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""2""",,"=""""","=""L1975""",
Fe,2,"=""4348.9110""","=""0.0019""","=""4348.9133""","=""0.0009""","=""0.031""","=""""",,"=""104593.292""","=""106892.717""","=""3d6.(5D).5d""","=""6G""","=""11/2""","=""3d6.(5D).6p""","=""6F*""","=""11/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4349.116""","=""0.002""","=""4349.1157""","=""0.0011""","=""2.2e-02""","=""""",,"=""104739.057""","=""107038.375""","=""3d6.(3F2).4d""","=""4P""","=""5/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4353.0507""","=""0.0004""","=""4353.0535""","=""0.0011""","=""0.15""","=""""",,"=""104868.522""","=""107165.760""","=""3d6.(5D).5d""","=""6G""","=""9/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c145""",
Ar,2,"=""4355.681""","=""0.003""","=""4355.6803""","=""0.0008""","=""7""","=""""",,"=""186470.3603""","=""188766.2129""","=""3s2.3p4.(3P).4d""","=""4P""","=""3/2""","=""3s2.3p4.(3P).5p""","=""4P*""","=""5/2""",,"=""""","=""L11520""",
Fe,2,"=""4357.489""","=""0.009""","=""4357.4959""","=""0.0008""","=""9.e-03""","=""""",,"=""105230.291""","=""107525.187""","=""3d6.(5D).5d""","=""4D""","=""3/2""","=""3d6.(5D).6p""","=""6P*""","=""5/2""",,"=""""","=""L18349c139""",
Ar,2,"=""4359.2449""","=""0.0006""","=""4359.2447""","=""0.0006""","=""26""","=""""",,"=""199959.6798""","=""202253.6552""","=""3s2.3p4.(3P).5d""","=""4D""","=""5/2""","=""3s2.3p4.(3P).6p""","=""4P*""","=""3/2""",,"=""""","=""L11520""",
Cr,1,"=""4359.835""","=""0.004""","=""4359.8348""","=""0.0021""","=""80""","=""""",,"=""31377.8624""","=""33671.5273""","=""3d5.(4F).4s""","=""a 5F""","=""4""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""3""",,"=""""","=""L14866""",
Fe,2,"=""4361.9957""","=""0.0012""","=""4361.9969""","=""0.0008""","=""0.05""","=""""",,"=""104873.232""","=""107165.760""","=""3d6.(5D).5d""","=""4D""","=""7/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
Mg,1,"=""4363.95""","=""0.10""","=""4363.864""","=""0.010""","=""50*""","=""1.23e+05""",B,"=""54676.701""","=""56968.248""","=""3s.4f""","=""3F*""","=""3""","=""3s.5d""","=""3D""","=""2""",,"=""T6298c72,LS""","=""L6692""",
Mg,1,"=""4363.95""","=""0.10""","=""4364.024""","=""0.010""","=""50*""","=""1.27e+05""",B,"=""54676.755""","=""56968.218""","=""3s.4f""","=""3F*""","=""4""","=""3s.5d""","=""3D""","=""3""",,"=""T6298c72,LS""","=""L6692""",
Xe,1,"=""4366.80""","=""0.40""","=""4366.81+""","=""0.03""","=""6""","=""""",,"=""88549.775""","=""90839.777""","=""5p5.(2P*<3/2>).6d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).4f""","=""2[3/2]""","=""1""",,"=""""","=""L1975""",
Cr,1,"=""4367.747""","=""0.019""","=""4367.7516""","=""0.0021""","=""1""","=""""",,"=""31048.7488""","=""33338.2563""","=""3d5.(2D3).4s""","=""b 3D""","=""1""","=""3d4.(5D).4s.4p.(3P*)""","=""z 5D*""","=""0""",,"=""""","=""L14866""",
Kr,1,"=""4374.0""","=""1.0""","=""4374.795+""","=""0.019""","=""""","=""""",,"=""103362.6124""","=""105648.434""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).5d""","=""2[3/2]*""","=""1""",,"=""""","=""L4227""",
Kr,1,"=""4374.8""","=""1.0""","=""4376.672+""","=""0.003""","=""""","=""""",,"=""103362.6124""","=""105647.4536""","=""4s2.4p5.(2P*<3/2>).6p""","=""2[3/2]""","=""2""","=""4s2.4p5.(2P*<3/2>).7s""","=""2[3/2]*""","=""2""",,"=""""","=""L4227""",
Fe,1,"=""4375.515""","=""0.006""","=""4375.514""","=""0.003""","=""930""","=""""",,"=""51103.191""","=""53388.637""","=""3d6.(5D).4s (6D).4d""","=""f 5F""","=""5""","=""3d7.(4F).5p""","=""5F*""","=""4""",,"=""""","=""L11631""",
Fe,2,"=""4380.8706""","=""0.0003""","=""4380.8731""","=""0.0013""","=""0.5""","=""""",,"=""104366.802""","=""106649.452""","=""3d6.(5D).5d""","=""6G""","=""13/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""11/2""",,"=""""","=""L18349c145""",
Fe,1,"=""4382.914""","=""0.015""","=""4382.910""","=""0.003""","=""930""","=""""",,"=""55134.168""","=""57415.757""","=""3d6.4s.(6D).6s""","=""5D""","=""2""","=""3d6.4s.(6D).6p""","=""5D*""","=""2""",,"=""""","=""L11631""",
Fe,2,"=""4383.533""","=""0.006""","=""4383.5328""","=""0.0010""","=""1.0e-02""","=""""",,"=""105291.014""","=""107572.279""","=""3d6.(3F2).4d""","=""4G""","=""7/2""","=""3d6.(5D).6p""","=""6F*""","=""5/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4387.1620""","=""0.0003""","=""4387.1618""","=""0.0008""","=""0.17""","=""""",,"=""105449.557""","=""107728.935""","=""3d6.(5D).5d""","=""4G""","=""7/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c148""",
Fe,2,"=""4389.526""","=""0.009""","=""4389.505""","=""0.006""","=""1.1e-02""","=""""",,"=""104120.244""","=""106398.405""","=""3d6.(5D).5d""","=""6P""","=""5/2""","=""3d5.(4D).4s.4p.(3P*)""","=""2P*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4389.608""","=""0.009""","=""4389.5825""","=""0.0013""","=""6.e-03""","=""2.1e+03""",D+,"=""102952.170""","=""105230.291""","=""3d6.(5D<4>).4f""","=""2[3]*""","=""5/2""","=""3d6.(5D).5d""","=""4D""","=""3/2""",,"=""T6892c83""","=""L18349c139""",
Fe,1,"=""4394.459""","=""0.006""","=""4394.459""","=""0.003""","=""830""","=""""",,"=""54864.831""","=""57140.424""","=""3d6.4s.(6D).6s""","=""5D""","=""3""","=""3d6.4s.(6D).6p""","=""7F*""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4395.627""","=""0.006""","=""4395.620""","=""0.003""","=""347""","=""""",,"=""51837.238""","=""54112.230""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""3""","=""3d6.(3D).4s.4p.(3P*)""","=""t 5P*""","=""2""",,"=""""","=""L11631""",
V,1,"=""4395.6683""","=""0.0010""","=""4395.6701""","=""0.0019""","=""""","=""""",,"=""20813.108""","=""23088.074""","=""3d4.(3D).4s""","=""b 4D""","=""3/2""","=""3d3.(4F).4s.4p.(3P*)""","=""z 4F*""","=""3/2""",,"=""""","=""L9486""",
Mg,1,"=""4401.68""","=""0.10""","=""4401.70""","=""0.10""","=""20""","=""1.54e+05""",C,"=""56308.381""","=""58580.23""","=""3s.5d""","=""1D""","=""2""","=""3s.7p""","=""1P*""","=""1""",,"=""T6298c72""","=""L6692""",
Th,1,"=""4404.474""","=""0.003""","=""4404.47264""","=""0.00017""","=""0*""","=""""",,"=""24701.04375""","=""26971.46312""","=""""","=""*""","=""5""","=""""","=""""","=""4""",,"=""""","=""L9974""",
Th,1,"=""4404.474""","=""0.003""","=""4404.4753""","=""0.0008""","=""0*""","=""""",,"=""35300.9146""","=""37571.3326""","=""5f.6d2.7p""","=""5K""","=""5""","=""""","=""*""","=""5""",,"=""""","=""L9974""",
Ar,2,"=""4405.7246""","=""0.0006""","=""4405.7244""","=""0.0006""","=""60""","=""""",,"=""199879.3828""","=""202149.1571""","=""3s2.3p4.(3P).5d""","=""4D""","=""7/2""","=""3s2.3p4.(3P).6p""","=""4P*""","=""5/2""",,"=""""","=""L11520""",
Fe,2,"=""4407.813""","=""0.007""","=""4407.8068""","=""0.0010""","=""7.e-03""","=""""",,"=""105460.233""","=""107728.935""","=""3d6.(3F2).4d""","=""4D""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""2D*""","=""5/2""",,"=""""","=""L18349c139""",
Xe,1,"=""4408.68""","=""0.40""","=""4408.87+""","=""0.03""","=""1*""","=""""",,"=""91152.670""","=""93420.823""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[7/2]""","=""3""",,"=""""","=""L1975""",
Xe,1,"=""4408.68""","=""0.40""","=""4408.64+""","=""0.03""","=""1*""","=""""",,"=""89860.015""","=""92128.287""","=""5p5.(2P*<1/2>).6p""","=""2[1/2]""","=""0""","=""5p5.(2P*<3/2>).7d""","=""2[1/2]*""","=""1""",,"=""""","=""L1975""",
Fe,2,"=""4408.7428""","=""0.0012""","=""4408.7454""","=""0.0010""","=""0.04""","=""""",,"=""105230.291""","=""107498.510""","=""3d6.(5D).5d""","=""4D""","=""3/2""","=""3d6.(5D).6p""","=""4D*""","=""3/2""",,"=""""","=""L18349c139""",
Fe,1,"=""4411.159""","=""0.006""","=""4411.163""","=""0.006""","=""830""","=""""",,"=""55134.168""","=""57401.144""","=""3d6.4s.(6D).6s""","=""5D""","=""2""","=""3d6.4s.(6D).6p""","=""5D*""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4411.341""","=""0.006""","=""4411.338""","=""0.006""","=""1170""","=""""",,"=""55305.627""","=""57572.513""","=""3d6.4s.(6D).6s""","=""5D""","=""1""","=""3d6.4s.(6D).6p""","=""5F*""","=""2""",,"=""""","=""L11631""",
Cu,2,"=""4412.72""","=""""","=""4412.715""","=""0.003""","="":""","=""2.7e-02""",C+,"=""23998.3718""","=""26264.5502""","=""3d9.4s""","=""3D""","=""1""","=""3d9.4s""","=""1D""","=""2""",M1,"=""T9697,T848""","=""""",
C,1,"=""4420.338""","=""0.012""","=""4420.3267""","=""0.0012""","=""490""","=""2.23e+05""",B+,"=""81769.87089""","=""84032.1471""","=""2s2.2p.4p""","=""1D""","=""2""","=""2s2.2p.4d""","=""1P*""","=""1""",,"=""T5520,T6070""","=""L12175c183""",
Ne,1,"=""4433.580""","=""0.002""","=""4433.580""","=""0.010""","=""5""","=""7.18e+03""",C+,"=""163657.2726""","=""165912.7861""","=""2s2.2p5.(2P*<1/2>).4p""","=""2[3/2]""","=""1""","=""2s2.2p5.(2P*<3/2>).5s""","=""2[3/2]*""","=""1""",,"=""T6976""","=""L9097""",
Th,1,"=""4434.6663""","=""0.0016""","=""4434.66424""","=""0.00012""","=""5""","=""""",,"=""13962.51989""","=""16217.482038""","=""6d3.(2D2).7s""","=""""","=""1""","=""6d.7s2.7p""","=""1D*""","=""2""",,"=""""","=""L9974""",
Th,3,"=""4434.9991""","=""0.0012""","=""4434.9984""","=""0.0006""","=""25""","=""""",,"=""4056.01548""","=""6310.80773""","=""6d2""","=""3F""","=""3""","=""5f.7s""","=""3F*""","=""4""",,"=""""","=""L9974""",
Th,1,"=""4436.8917""","=""0.0018""","=""4436.8885""","=""0.0004""","=""3""","=""""",,"=""22515.88404""","=""24769.71573""","=""6d4""","=""5D""","=""2""","=""""","=""*""","=""3""",,"=""""","=""L9974""",
Fe,1,"=""4439.645""","=""0.006""","=""4439.644""","=""0.004""","=""4170""","=""""",,"=""54479.902""","=""56732.335""","=""3d6.4s.(6D).6s""","=""5D""","=""4""","=""3d6.4s.(6D).6p""","=""5D*""","=""4""",,"=""""","=""L11631""",
Th,1,"=""4439.7856""","=""0.0016""","=""4439.78466""","=""0.00016""","=""7""","=""""",,"=""21738.05013""","=""23990.41162""","=""5f.6d2.7s""","=""5G*""","=""2""","=""5f.6d.7s.7p""","=""5F""","=""2""",,"=""""","=""L9974""",
Fe,2,"=""4446.0079""","=""0.0012""","=""4446.0094""","=""0.0008""","=""0.031""","=""""",,"=""104916.552""","=""107165.760""","=""3d6.(3F2).4d""","=""4F""","=""9/2""","=""3d6.(5D).6p""","=""4F*""","=""7/2""",,"=""""","=""L18349c139""",
Ar,2,"=""4446.298""","=""0.003""","=""4446.2979""","=""0.0008""","=""5""","=""""",,"=""201345.2925""","=""203594.3546""","=""3s2.3p4.(3P).5d""","=""4P""","=""3/2""","=""3s2.3p4.(1D).5p""","=""2P*""","=""1/2""",,"=""""","=""L11520""",
Fe,2,"=""4447.0121""","=""0.0003""","=""4447.0119""","=""0.0010""","=""0.12""","=""""",,"=""105211.079""","=""107459.780""","=""3d6.(5D).5d""","=""4G""","=""9/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""7/2""",,"=""""","=""L18349c148""",
Xe,1,"=""4452.45""","=""0.40""","=""4452.49+""","=""0.03""","=""9""","=""""",,"=""88686.500""","=""90932.432""","=""5p5.(2P*<3/2>).7p""","=""2[3/2]""","=""2""","=""5p5.(2P*<3/2>).8s""","=""2[3/2]*""","=""1""",,"=""""","=""L1975""",
Fe,1,"=""4462.598""","=""0.016""","=""4462.584""","=""0.007""","=""251""","=""""",,"=""55305.627""","=""57546.481""","=""3d6.4s.(6D).6s""","=""5D""","=""1""","=""3d6.4s.(6D).6p""","=""5F*""","=""1""",,"=""""","=""L11631""",
Fe,1,"=""4466.740""","=""0.006""","=""4466.740""","=""0.003""","=""3550""","=""""",,"=""38995.736""","=""41234.505""","=""3d7.(4F).4p""","=""y 3D*""","=""1""","=""3d8""","=""3P""","=""0""",,"=""""","=""L11631""",
Xe,1,"=""4473.24""","=""0.40""","=""4473.74+""","=""0.20""","=""3*""","=""""",,"=""94228.004""","=""96463.27""","=""5p5.(2P*<3/2>).8d""","=""2[1/2]*""","=""1""","=""5p5.(2P*<3/2>).9f""","=""2[3/2]""","=""2""",,"=""""","=""L1975""",
Xe,1,"=""4473.24""","=""0.40""","=""4473.10+""","=""0.03""","=""3*""","=""""",,"=""88708.466""","=""90944.050""","=""5p5.(2P*<3/2>).6d""","=""2[3/2]*""","=""2""","=""5p5.(2P*<3/2>).4f""","=""2[7/2]""","=""3""",,"=""""","=""L1975""",
Th,1,"=""4475.4267""","=""0.0022""","=""4475.42767""","=""0.00012""","=""1""","=""""",,"=""24561.65178""","=""26796.07511""","=""""","=""*""","=""3""","=""""","=""""","=""3""",,"=""""","=""L9974""",
Xe,1,"=""4478.46""","=""0.40""","=""4478.0+""","=""2.0""","=""2""","=""""",,"=""94685.467""","=""96918.6""","=""5p5.(2P*<3/2>).8d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).11f""","=""2[3/2]""","=""2""",,"=""""","=""L1975""",
Fe,2,"=""4479.0036""","=""0.0009""","=""4479.0064""","=""0.0012""","=""0.04""","=""""",,"=""105065.627""","=""107298.265""","=""3d6.(5D).5d""","=""6G""","=""7/2""","=""3d5.(2F1).4s.4p.(3P*)""","=""4G*""","=""5/2""",,"=""""","=""L18349c139""",
Th,1,"=""4486.0092""","=""0.0016""","=""4486.00890""","=""0.00010""","=""5""","=""""",,"=""11802.93238""","=""14032.085336""","=""6d3.(4P).7s""","=""5P""","=""2""","=""6d.7s2.7p""","=""3D*""","=""2""",,"=""""","=""L9974""",
Fe,2,"=""4489.0873""","=""0.0017""","=""4489.0879""","=""0.0010""","=""1.8e-02""","=""""",,"=""104380.941""","=""106608.565""","=""3d6.(5D).5d""","=""6F""","=""7/2""","=""3d6.(5D).6p""","=""6D*""","=""7/2""",,"=""""","=""L18349c139""",
Fe,2,"=""4489.5797""","=""0.0010""","=""4489.5353""","=""0.0012""","=""0.05bl(Fe I)""","=""""",,"=""104481.606""","=""106709.008""","=""3d6.(3H).4d""","=""2F""","=""7/2""","=""3d6.(5D).6p""","=""4F*""","=""9/2""",,"=""""","=""L18349c148""",
Fe,1,"=""4489.58""","=""0.04""","=""4489.576""","=""0.005""","=""4570bl""","=""""",,"=""54479.902""","=""56707.284""","=""3d6.4s.(6D).6s""","=""5D""","=""4""","=""3d6.4s.(6D).6p""","=""5F*""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""4495.878""","=""0.002""","=""4495.8753""","=""0.0018""","=""7.e-03""","=""""",,"=""105230.291""","=""107454.552""","=""3d6.(5D).5d""","=""4D""","=""3/2""","=""3d5.(2D3).4s.4p.(3P*)""","=""4D*""","=""1/2""",,"=""""","=""L18349c139""",
Th,2,"=""4496.4263""","=""0.0022""","=""4496.4258""","=""0.0006""","=""1""","=""""",,"=""15236.63833""","=""17460.62698""","=""6d3""","=""4P""","=""3/2""","=""5f.6d.(3P*).7s""","=""4P*""","=""5/2""",,"=""""","=""L9974""",
C,1,"=""4499.2600""","=""0.0004""","=""4499.2601""","=""0.0003""","=""9200""","=""7.4e+05""",C+,"=""78340.29782""","=""80562.88550""","=""2s2.2p.4s""","=""1P*""","=""1""","=""2s2.2p.4p""","=""1P""","=""1""",,"=""T5520,T6070""","=""L12175c183""",
Ti,1,"=""4502.81""","=""0.02""","=""4502.821""","=""0.012""","=""11""","=""""",,"=""35469.497""","=""37690.327""","=""3d4""","=""3H""","=""6""","=""3d3.(2G).4p""","=""v 3G*""","=""5""",,"=""""","=""L10989""",
Fe,2,"=""4503.29""","=""0.03""","=""4503.3422""","=""0.0020""","=""3.1e-03""","=""""",,"=""103988.001""","=""106208.574""","=""3d6.(5D<1>).4f""","=""2[3]*""","=""5/2""","=""3d6.(3F2).4d""","=""2F""","=""5/2""",,"=""""","=""L18349c139""",
Th,2,"=""4503.4926""","=""0.0014""","=""4503.4925""","=""0.0004""","=""11""","=""""",,"=""12570.49403""","=""14790.99291""","=""6d3""","=""""","=""7/2""","=""5f.6d.(3G*).7s""","=""*""","=""7/2""",,"=""""","=""L9974""",
Ti,1,"=""4509.25""","=""0.02""","=""4509.260""","=""0.012""","=""11""","=""""",,"=""35400.235""","=""37617.894""","=""3d4""","=""3H""","=""5""","=""3d3.(2G).4p""","=""v 3G*""","=""4""",,"=""""","=""L10989""",
Zn,1,"=""4510.98""","=""0.04""","=""4510.982""","=""0.024""","=""150""","=""""",,"=""68834.228""","=""71051.040""","=""3d10.4s.4f""","=""1F*""","=""3""","=""3d10.4s.6d""","=""1D""","=""2""",,"=""""","=""L18676""",
Fe,2,"=""4512.522""","=""0.002""","=""4512.5193""","=""0.0008""","=""1.1e-02""","=""""",,"=""104828.163""","=""107044.220""","=""3d6.(5D).5d""","=""6D""","=""5/2""","=""3d6.(5D).6p""","=""6D*""","=""3/2""",,"=""""","=""L18349c139""",
Xe,1,"=""4513.20""","=""0.40""","=""4513.37+""","=""0.20""","=""1""","=""""",,"=""95216.46""","=""97432.098""","=""5p5.(2P*<3/2>).10p""","=""2[3/2]""","=""1""","=""5p5.(2P*<3/2>).19d""","=""2[3/2]*""","=""2""",,"=""""","=""L1975""",
Hg,1,"=""4513.434""","=""0.055""","=""""","=""""","=""""","=""""",,"=""""","=""""","=""""","=""""","=""""","=""""","=""""","=""""",,"=""""","=""L7375""",
Th,1,"=""4516.2955""","=""0.0022""","=""4516.29453""","=""0.00006""","=""1""","=""""",,"=""16217.482038""","=""18431.686609""","=""6d.7s2.7p""","=""1D*""","=""2""","=""5f.7s2.7p""","=""3G""","=""3""",,"=""""","=""L9974""",
Fe,2,"=""4518.830""","=""0.009""","=""4518.8345""","=""0.0018""","=""2.8e-03""","=""""",,"=""104411.671""","=""106624.631""","=""3d6.(5D).5d""","=""6D""","=""9/2""","=""3d5.(4F).4s.4p.(3P*)""","=""6F*""","=""9/2""",,"=""""","=""L18349c139""",
Th,2,"=""4519.1915""","=""0.0014""","=""4519.1914""","=""0.0004""","=""15""","=""""",,"=""8460.35308""","=""10673.13832""","=""6d3""","=""""","=""3/2""","=""5f.6d.(3F*).7s""","=""*""","=""5/2""",,"=""""","=""L9974""",
Xe,1,"=""4519.46""","=""0.40""","=""4519.7+""","=""2.1""","=""1""","=""""",,"=""93618.24""","=""[95830.8]""","=""5p5.(2P*<1/2>).5d""","=""2[3/2]*""","=""1""","=""5p5.(2P*<3/2>).11p""","=""2[1/2]""","=""1""",,"=""""","=""L1975""",
Fe,1,"=""4520.517""","=""0.006""","=""4520.518""","=""0.003""","=""1320""","=""""",,"=""44677.006""","=""46889.142""","=""3d6.(5D).4s (6D).5s""","=""e 5D""","=""4""","=""3d6.(3F2).4s.4p.(3P*)""","=""x 3F*""","=""4""",,"=""""","=""L11631""",
Mg,2,"=""4524.795""","=""0.010""","=""4524.85""","=""0.10""","=""3160""","=""2.67e+06""",A,"=""103419.70""","=""105629.72""","=""2p6.5d""","=""2D""","=""5/2""","=""2p6.6p""","=""2P*""","=""3/2""",,"=""c31""","=""L6692""",
Xe,1,"=""4525.13""","=""0.40""","=""4524.88+""","=""0.03""","=""1""","=""""",,"=""91152.670""","=""93362.671""","=""5p5.(2P*<1/2>).5d""","=""2[5/2]*""","=""2""","=""5p5.(2P*<3/2>).5f""","=""2[3/2]""","=""1""",,"=""""","=""L1975""",
Mg,2,"=""4525.411""","=""0.010""","=""4525.46""","=""0.10""","=""500""","=""2.97e+05""",A,"=""103420.00""","=""105629.72""","=""2p6.5d""","=""2D""","=""3/2""","=""2p6.6p""","=""2P*""","=""3/2""",,"=""c31""","=""L6692""",
Fe,1,"=""4525.589""","=""0.006""","=""4525.583""","=""0.005""","=""1620""","=""""",,"=""55134.168""","=""57343.828""","=""3d6.4s.(6D).6s""","=""5D""","=""2""","=""3d6.4s.(6D).6p""","=""5F*""","=""3""",,"=""""","=""L11631""",
Ti,1,"=""4525.90""","=""0.02""","=""4525.905""","=""0.012""","=""10""","=""""",,"=""35345.555""","=""37555.058""","=""3d4""","=""3H""","=""4""","=""3d3.(2G).4p""","=""v 3G*""","=""3""",,"=""""","=""L10989""",
Ar,6,"=""4529.22""","=""0.15""","=""4529.2""","=""0.3""","=""""","=""9.7e-02""",A,"=""0.00""","=""2207.88""","=""3s2.3p""","=""2P*""","=""1/2""","=""3s2.3p""","=""2P*""","=""3/2""",M1,"=""T335""","=""L16116""",
Th,1,"=""4529.6145""","=""0.0014""","=""4529.61391""","=""0.00012""","=""13""","=""""",,"=""17847.07751""","=""20054.77119""","=""5f.6d.7s2""","=""3P*""","=""2""","=""6d3.(2F).7s""","=""3F""","=""2""",,"=""""","=""L9974""",
Fe,1,"=""4530.307""","=""0.016""","=""4530.299""","=""0.003""","=""288""","=""""",,"=""51361.391""","=""53568.751""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""3""","=""3d7.(4F).4d""","=""f 5P""","=""2""",,"=""""","=""L11631""",
Fe,1,"=""4535.03""","=""0.04""","=""4535.022""","=""0.003""","=""590bl""","=""""",,"=""51076.628""","=""53281.689""","=""3d6.(5D).4s (6D).5p""","=""t 5D*""","=""4""","=""3d7.(4F).4d""","=""f 5G""","=""5""",,"=""""","=""L11631""",
Fe,2,"=""4535.032""","=""0.003""","=""4535.0281""","=""0.0016""","=""8.e-03bl(Ne)""","=""""",,"=""105518.142""","=""107723.200""","=""3d6.(3F2).4d""","=""4F""","=""3/2""","=""3d6.(5D).6p""","=""6F*""","=""1/2""",,"=""""","=""L18349c148""",
Th,2,"=""4536.5330""","=""0.0014""","=""4536.5329""","=""0.0004""","=""13""","=""""",,"=""13248.70938""","=""15453.03596""","=""6d3""","=""4F""","=""9/2""","=""5f.6d.(3D*).7s""","=""4D*""","=""7/2""",,"=""""","=""L9974""",
Fe,1,"=""4538.04""","=""0.04""","=""4538.043""","=""0.005""","=""372bl""","=""""",,"=""52067.469""","=""54271.062""","=""3d6.(5D).4s (6D).4d""","=""e 5P""","=""2""","=""3d6.(3D).4s.4p.(3P*)""","=""t 5P*""","=""1""",,"=""""","=""L11631""",
